Account Short Name,Segment,Key Account Type,V1,Perf Reporting?,,2018 Division,2019 Division,2019 BMP Label,2020 Division,2020 BU Label,2020 DIV Label,2020 Business Model Label,,Product Line,"Original 
Product Line","2020 Mapped 
Product Line",Division-2019,"2020 
Current/Old",2020 Division,"2020 For 
Reporting",,2019 Prod Code,2020 Prod Code,Domain,EcoX,Margin,,OpportunityScope,EcoX?,EcoX Domain1,EcoX Domain2,EcoX Domain3,,"2020 For 
Reporting",2020 Division,,Product Line,"Original 
Product Line","2020 Mapped 
Product Line",Division-2019,"2020 
Current/Old",2020 Division,"2020 For 
Reporting",US Reporting Div,NAM Ops?,"US P&L, L1","US P&L, L2","US P&L, L3",,,Services,,,ESX L2L3,,,Adv+SW,,,,,,,,UPD 3.2.2021,,,,,,,,,,,,,Flywheel Ref Data,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-OLD GDP SWOPS-OLD GDP 2015,Aveva,IDSFT,OLD GDP SWOPS,OLD GDP 2015,IDSFT-OLD GDP SWOPS-OLD GDP 2015,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SFP OTHER FOR IDSFT-FAMILY OTHER FOR IDSFT,Aveva,IDSFT,SFP OTHER FOR IDSFT,FAMILY OTHER FOR IDSFT,IDSFT-SFP OTHER FOR IDSFT-FAMILY OTHER FOR IDSFT,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SIMSCI APC-APC CF CF40,Aveva,IDSFT,SIMSCI APC,APC CF CF40,IDSFT-SIMSCI APC-APC CF CF40,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SIMSCI APC-APC LIC 0040,Aveva,IDSFT,SIMSCI APC,APC LIC 0040,IDSFT-SIMSCI APC-APC LIC 0040,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SIMSCI APC-APC SVC 0041,Aveva,IDSFT,SIMSCI APC,APC SVC 0041,IDSFT-SIMSCI APC-APC SVC 0041,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SIMSCI APC-APC SVC CF CF41,Aveva,IDSFT,SIMSCI APC,APC SVC CF CF41,IDSFT-SIMSCI APC-APC SVC CF CF41,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SIMSCI DESIGN-SIMCENTRAL CF,Aveva,IDSFT,SIMSCI DESIGN,SIMCENTRAL CF,IDSFT-SIMSCI DESIGN-SIMCENTRAL CF,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SIMSCI DESIGN-SIMCENTRAL LIC,Aveva,IDSFT,SIMSCI DESIGN,SIMCENTRAL LIC,IDSFT-SIMSCI DESIGN-SIMCENTRAL LIC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SIMSCI DESIGN-SIMCENTRAL RESALE,Aveva,IDSFT,SIMSCI DESIGN,SIMCENTRAL RESALE,IDSFT-SIMSCI DESIGN-SIMCENTRAL RESALE,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SIMSCI DESIGN-SIMCENTRAL SAAS,Aveva,IDSFT,SIMSCI DESIGN,SIMCENTRAL SAAS,IDSFT-SIMSCI DESIGN-SIMCENTRAL SAAS,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SIMSCI DESIGN-SIMCENTRAL SVC,Aveva,IDSFT,SIMSCI DESIGN,SIMCENTRAL SVC,IDSFT-SIMSCI DESIGN-SIMCENTRAL SVC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SIMSCI DESIGN-SIMCENTRAL TRAIN SVC,Aveva,IDSFT,SIMSCI DESIGN,SIMCENTRAL TRAIN SVC,IDSFT-SIMSCI DESIGN-SIMCENTRAL TRAIN SVC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SIMSCI DESIGN-SIMSCI DES CF CF29,Aveva,IDSFT,SIMSCI DESIGN,SIMSCI DES CF CF29,IDSFT-SIMSCI DESIGN-SIMSCI DES CF CF29,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SIMSCI DESIGN-SIMSCI DES LIC 0029,Aveva,IDSFT,SIMSCI DESIGN,SIMSCI DES LIC 0029,IDSFT-SIMSCI DESIGN-SIMSCI DES LIC 0029,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SIMSCI DESIGN-SIMSCI DES SAAS,Aveva,IDSFT,SIMSCI DESIGN,SIMSCI DES SAAS,IDSFT-SIMSCI DESIGN-SIMSCI DES SAAS,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SIMSCI DESIGN-SIMSCI DES SVC 0030,Aveva,IDSFT,SIMSCI DESIGN,SIMSCI DES SVC 0030,IDSFT-SIMSCI DESIGN-SIMSCI DES SVC 0030,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SIMSCI DESIGN-SIMSCI DES TRAIN CF30,Aveva,IDSFT,SIMSCI DESIGN,SIMSCI DES TRAIN CF30,IDSFT-SIMSCI DESIGN-SIMSCI DES TRAIN CF30,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SIMSCI OPTIMIZATION-OPT SVC/CF CF50,Aveva,IDSFT,SIMSCI OPTIMIZATION,OPT SVC/CF CF50,IDSFT-SIMSCI OPTIMIZATION-OPT SVC/CF CF50,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SIMSCI OPTIMIZATION-OPTIM CF CF49,Aveva,IDSFT,SIMSCI OPTIMIZATION,OPTIM CF CF49,IDSFT-SIMSCI OPTIMIZATION-OPTIM CF CF49,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SIMSCI OPTIMIZATION-OPTIM LIC 0049,Aveva,IDSFT,SIMSCI OPTIMIZATION,OPTIM LIC 0049,IDSFT-SIMSCI OPTIMIZATION-OPTIM LIC 0049,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SIMSCI OPTIMIZATION-OPTIM SVC 0050,Aveva,IDSFT,SIMSCI OPTIMIZATION,OPTIM SVC 0050,IDSFT-SIMSCI OPTIMIZATION-OPTIM SVC 0050,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SIMSCI SIMULATION-OTS CF CF31,Aveva,IDSFT,SIMSCI SIMULATION,OTS CF CF31,IDSFT-SIMSCI SIMULATION-OTS CF CF31,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SIMSCI SIMULATION-OTS CF CF32,Aveva,IDSFT,SIMSCI SIMULATION,OTS CF CF32,IDSFT-SIMSCI SIMULATION-OTS CF CF32,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SIMSCI SIMULATION-OTS LIC 0031,Aveva,IDSFT,SIMSCI SIMULATION,OTS LIC 0031,IDSFT-SIMSCI SIMULATION-OTS LIC 0031,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SIMSCI SIMULATION-OTS SUBS,Aveva,IDSFT,SIMSCI SIMULATION,OTS SUBS,IDSFT-SIMSCI SIMULATION-OTS SUBS,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SIMSCI SIMULATION-OTS SVC 0032,Aveva,IDSFT,SIMSCI SIMULATION,OTS SVC 0032,IDSFT-SIMSCI SIMULATION-OTS SVC 0032,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SIMSCI SIMULATION-SIMSCI RESALE 0037,Aveva,IDSFT,SIMSCI SIMULATION,SIMSCI RESALE 0037,IDSFT-SIMSCI SIMULATION-SIMSCI RESALE 0037,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SIMSCI SIMULATION-SIMSCI TRAINING SVC,Aveva,IDSFT,SIMSCI SIMULATION,SIMSCI TRAINING SVC,IDSFT-SIMSCI SIMULATION-SIMSCI TRAINING SVC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SIMSCI SPIRAL-SPIRAL CF CF86,Aveva,IDSFT,SIMSCI SPIRAL,SPIRAL CF CF86,IDSFT-SIMSCI SPIRAL-SPIRAL CF CF86,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SIMSCI SPIRAL-SPIRAL HOSTING,Aveva,IDSFT,SIMSCI SPIRAL,SPIRAL HOSTING,IDSFT-SIMSCI SPIRAL-SPIRAL HOSTING,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SIMSCI SPIRAL-SPIRAL LICENSES 0085,Aveva,IDSFT,SIMSCI SPIRAL,SPIRAL LICENSES 0085,IDSFT-SIMSCI SPIRAL-SPIRAL LICENSES 0085,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SIMSCI SPIRAL-SPIRAL SVC 0087,Aveva,IDSFT,SIMSCI SPIRAL,SPIRAL SVC 0087,IDSFT-SIMSCI SPIRAL-SPIRAL SVC 0087,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SKELTA WORKFLOW-SKELTA WF LIC 0090,Aveva,IDSFT,SKELTA WORKFLOW,SKELTA WF LIC 0090,IDSFT-SKELTA WORKFLOW-SKELTA WF LIC 0090,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SKELTA WORKFLOW-SKELTA WF SVC 0091,Aveva,IDSFT,SKELTA WORKFLOW,SKELTA WF SVC 0091,IDSFT-SKELTA WORKFLOW-SKELTA WF SVC 0091,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SKELTA WORKFLOW-SKELTA WORK CF 0092,Aveva,IDSFT,SKELTA WORKFLOW,SKELTA WORK CF 0092,IDSFT-SKELTA WORKFLOW-SKELTA WORK CF 0092,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SPIRAL MMM-SPIRAL MMM CF,Aveva,IDSFT,SPIRAL MMM,SPIRAL MMM CF,IDSFT-SPIRAL MMM-SPIRAL MMM CF,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SPIRAL MMM-SPIRAL MMM HOSTING,Aveva,IDSFT,SPIRAL MMM,SPIRAL MMM HOSTING,IDSFT-SPIRAL MMM-SPIRAL MMM HOSTING,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SPIRAL MMM-SPIRAL MMM LIC,Aveva,IDSFT,SPIRAL MMM,SPIRAL MMM LIC,IDSFT-SPIRAL MMM-SPIRAL MMM LIC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-SPIRAL MMM-SPIRAL MMM SVC,Aveva,IDSFT,SPIRAL MMM,SPIRAL MMM SVC,IDSFT-SPIRAL MMM-SPIRAL MMM SVC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-VIJEO/CITECT SCADA-CITECT SCADA CF,Aveva,IDSFT,VIJEO/CITECT SCADA,CITECT SCADA CF,IDSFT-VIJEO/CITECT SCADA-CITECT SCADA CF,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-VIJEO/CITECT SCADA-CITECT SCADA LIC,Aveva,IDSFT,VIJEO/CITECT SCADA,CITECT SCADA LIC,IDSFT-VIJEO/CITECT SCADA-CITECT SCADA LIC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-VIJEO/CITECT SCADA-CITECT SCADA SVC,Aveva,IDSFT,VIJEO/CITECT SCADA,CITECT SCADA SVC,IDSFT-VIJEO/CITECT SCADA-CITECT SCADA SVC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-WONDERWARE HMI-WONDERWARE CF 0072,Aveva,IDSFT,WONDERWARE HMI,WONDERWARE CF 0072,IDSFT-WONDERWARE HMI-WONDERWARE CF 0072,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-WONDERWARE HMI-WW SUPV SOLN TEMPL LIC,Aveva,IDSFT,WONDERWARE HMI,WW SUPV SOLN TEMPL LIC,IDSFT-WONDERWARE HMI-WW SUPV SOLN TEMPL LIC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-WONDERWARE HMI-WW SUPV/HMI LIC 0071,Aveva,IDSFT,WONDERWARE HMI,WW SUPV/HMI LIC 0071,IDSFT-WONDERWARE HMI-WW SUPV/HMI LIC 0071,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-WONDERWARE HMI-WW SUPV/HMI SUBS,Aveva,IDSFT,WONDERWARE HMI,WW SUPV/HMI SUBS,IDSFT-WONDERWARE HMI-WW SUPV/HMI SUBS,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-WONDERWARE HMI-WW TRAINING SVC 0083,Aveva,IDSFT,WONDERWARE HMI,WW TRAINING SVC 0083,IDSFT-WONDERWARE HMI-WW TRAINING SVC 0083,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-WONDERWARE HMI-WW WIC,Aveva,IDSFT,WONDERWARE HMI,WW WIC,IDSFT-WONDERWARE HMI-WW WIC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-WONDERWARE INFORMGMT-EMI CF CF25,Aveva,IDSFT,WONDERWARE INFORMGMT,EMI CF CF25,IDSFT-WONDERWARE INFORMGMT-EMI CF CF25,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-WONDERWARE INFORMGMT-EMI SVC 0025,Aveva,IDSFT,WONDERWARE INFORMGMT,EMI SVC 0025,IDSFT-WONDERWARE INFORMGMT-EMI SVC 0025,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-WONDERWARE INFORMGMT-SAAS-HISTORIAN ONLINE,Aveva,IDSFT,WONDERWARE INFORMGMT,SAAS-HISTORIAN ONLINE,IDSFT-WONDERWARE INFORMGMT-SAAS-HISTORIAN ONLINE,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-WONDERWARE INFORMGMT-SAAS-SMARTGLANCE,Aveva,IDSFT,WONDERWARE INFORMGMT,SAAS-SMARTGLANCE,IDSFT-WONDERWARE INFORMGMT-SAAS-SMARTGLANCE,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-WONDERWARE INFORMGMT-WONDERW INFO CF,Aveva,IDSFT,WONDERWARE INFORMGMT,WONDERW INFO CF,IDSFT-WONDERWARE INFORMGMT-WONDERW INFO CF,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-WONDERWARE INFORMGMT-WONDERW INFO LIC,Aveva,IDSFT,WONDERWARE INFORMGMT,WONDERW INFO LIC,IDSFT-WONDERWARE INFORMGMT-WONDERW INFO LIC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-WONDERWARE INFORMGMT-WONDERWARE CEM LIC,Aveva,IDSFT,WONDERWARE INFORMGMT,WONDERWARE CEM LIC,IDSFT-WONDERWARE INFORMGMT-WONDERWARE CEM LIC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-WONDERWARE INFORMGMT-WONDERWARE INFO LIC,Aveva,IDSFT,WONDERWARE INFORMGMT,WONDERWARE INFO LIC,IDSFT-WONDERWARE INFORMGMT-WONDERWARE INFO LIC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-WONDERWARE INFORMGMT-WW HIST CLIENTLIC,Aveva,IDSFT,WONDERWARE INFORMGMT,WW HIST CLIENTLIC,IDSFT-WONDERWARE INFORMGMT-WW HIST CLIENTLIC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-WONDERWARE INFORMGMT-WW HIST LIC 0070,Aveva,IDSFT,WONDERWARE INFORMGMT,WW HIST LIC 0070,IDSFT-WONDERWARE INFORMGMT-WW HIST LIC 0070,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-WONDERWARE INFORMGMT-WW INTELLIGENCE LIC,Aveva,IDSFT,WONDERWARE INFORMGMT,WW INTELLIGENCE LIC,IDSFT-WONDERWARE INFORMGMT-WW INTELLIGENCE LIC,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-WONDERWARE MES-MES CF CF48,Aveva,IDSFT,WONDERWARE MES,MES CF CF48,IDSFT-WONDERWARE MES-MES CF CF48,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDSFT-WONDERWARE MES-MES ENGR SVC 0048,Aveva,IDSFT,WONDERWARE MES,MES ENGR SVC 0048,IDSFT-WONDERWARE MES-MES ENGR SVC 0048,1,0,IND AUT SOFTWARE,IND AUT SOFTWARE,IDSFT-Aveva,Plant/Machine,,,,,,
